Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
001,Chrome 71.0.3578.98,,2019-02-01 15:08:39,2019-02-01 15:08:47,"8,165s",PASSED
,,,,,,
Test Cases/0.1-Login,Chrome 71.0.3578.98,,2019-02-01 15:08:39,2019-02-01 15:08:46,"7,329s",PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-01 15:08:39,2019-02-01 15:08:42,"3,068s",PASSED
"lst = [""http://localhost:8080/saraweb/webcommon/acceso.jsf"", ""http://192.168.2.38:8080/saraweb/webcommon/acceso.jsf""]",Chrome 71.0.3578.98,,2019-02-01 15:08:42,2019-02-01 15:08:42,"0,001s",PASSED
for (String i : lst),Chrome 71.0.3578.98,,2019-02-01 15:08:42,2019-02-01 15:08:44,"1,558s",PASSED
"setText(findTestObject(""Login/input_USUARIO_loginusuario""), ""saraadmin"")",Chrome 71.0.3578.98,,2019-02-01 15:08:44,2019-02-01 15:08:44,"0,148s",PASSED
"setEncryptedText(findTestObject(""Login/input_CLAVE_loginpassword""), ""MkG4/TYiCFC3cb2driP7+Q=="")",Chrome 71.0.3578.98,,2019-02-01 15:08:44,2019-02-01 15:08:44,"0,139s",PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-01 15:08:44,2019-02-01 15:08:46,"2,019s",PASSED
"click(findTestObject(""Login/span_Ingresar""))",Chrome 71.0.3578.98,,2019-02-01 15:08:46,2019-02-01 15:08:46,"0,132s",PASSED
