Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
0.1,Chrome 71.0.3578.98,,2019-02-01 11:48:22,2019-02-01 11:48:30,"8,206s",PASSED
,,,,,,
Test Cases/0.1-Login,Chrome 71.0.3578.98,,2019-02-01 11:48:22,2019-02-01 11:48:30,"7,377s",PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-01 11:48:22,2019-02-01 11:48:26,"3,327s",PASSED
"lst = [""http://localhost:8080/saraweb/webcommon/acceso.jsf"", ""http://192.168.2.38:8080/saraweb/webcommon/acceso.jsf""]",Chrome 71.0.3578.98,,2019-02-01 11:48:26,2019-02-01 11:48:26,"0,001s",PASSED
for (String i : lst),Chrome 71.0.3578.98,,2019-02-01 11:48:26,2019-02-01 11:48:27,"1,368s",PASSED
"setText(findTestObject(""Login/input_USUARIO_loginusuario""), ""saraadmin"")",Chrome 71.0.3578.98,,2019-02-01 11:48:27,2019-02-01 11:48:27,"0,144s",PASSED
"setEncryptedText(findTestObject(""Login/input_CLAVE_loginpassword""), ""MkG4/TYiCFC3cb2driP7+Q=="")",Chrome 71.0.3578.98,,2019-02-01 11:48:27,2019-02-01 11:48:27,"0,138s",PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-01 11:48:27,2019-02-01 11:48:29,"2,019s",PASSED
"click(findTestObject(""Login/span_Ingresar""))",Chrome 71.0.3578.98,,2019-02-01 11:48:29,2019-02-01 11:48:30,"0,130s",PASSED
