Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
0.1,Chrome 71.0.3578.98,,2019-02-01 11:42:50,2019-02-01 11:42:57,"7,935s",PASSED
,,,,,,
Test Cases/0.1-Login,Chrome 71.0.3578.98,,2019-02-01 11:42:50,2019-02-01 11:42:57,"7,136s",PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-01 11:42:50,2019-02-01 11:42:53,"3,161s",PASSED
"lst = [""http://localhost:8080/saraweb/webcommon/acceso.jsf"", ""http://192.168.2.38:8080/saraweb/webcommon/acceso.jsf""]",Chrome 71.0.3578.98,,2019-02-01 11:42:53,2019-02-01 11:42:53,"0,001s",PASSED
for (String i : lst),Chrome 71.0.3578.98,,2019-02-01 11:42:53,2019-02-01 11:42:54,"1,301s",PASSED
"setText(findTestObject(""Login/input_USUARIO_loginusuario""), ""saraadmin"")",Chrome 71.0.3578.98,,2019-02-01 11:42:54,2019-02-01 11:42:55,"0,141s",PASSED
"setEncryptedText(findTestObject(""Login/input_CLAVE_loginpassword""), ""MkG4/TYiCFC3cb2driP7+Q=="")",Chrome 71.0.3578.98,,2019-02-01 11:42:55,2019-02-01 11:42:55,"0,134s",PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-01 11:42:55,2019-02-01 11:42:57,"2,017s",PASSED
"click(findTestObject(""Login/span_Ingresar""))",Chrome 71.0.3578.98,,2019-02-01 11:42:57,2019-02-01 11:42:57,"0,124s",PASSED
