Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
0.1,Chrome 71.0.3578.98,,2019-02-01 11:50:50,2019-02-01 11:50:58,"8,268s",PASSED
,,,,,,
Test Cases/0.1-Login,Chrome 71.0.3578.98,,2019-02-01 11:50:50,2019-02-01 11:50:58,"7,436s",PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-01 11:50:50,2019-02-01 11:50:54,"3,127s",PASSED
"lst = [""http://localhost:8080/saraweb/webcommon/acceso.jsf"", ""http://192.168.2.38:8080/saraweb/webcommon/acceso.jsf""]",Chrome 71.0.3578.98,,2019-02-01 11:50:54,2019-02-01 11:50:54,"0,002s",PASSED
for (String i : lst),Chrome 71.0.3578.98,,2019-02-01 11:50:54,2019-02-01 11:50:55,"1,629s",PASSED
"setText(findTestObject(""Login/input_USUARIO_loginusuario""), ""saraadmin"")",Chrome 71.0.3578.98,,2019-02-01 11:50:55,2019-02-01 11:50:55,"0,148s",PASSED
"setEncryptedText(findTestObject(""Login/input_CLAVE_loginpassword""), ""MkG4/TYiCFC3cb2driP7+Q=="")",Chrome 71.0.3578.98,,2019-02-01 11:50:55,2019-02-01 11:50:55,"0,140s",PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-01 11:50:55,2019-02-01 11:50:57,"2,016s",PASSED
"click(findTestObject(""Login/span_Ingresar""))",Chrome 71.0.3578.98,,2019-02-01 11:50:57,2019-02-01 11:50:58,"0,100s",PASSED
