Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
02,Chrome 71.0.3578.98,,2019-02-01 17:05:07,2019-02-01 17:05:31,"24,408s",PASSED
,,,,,,
Test Cases/1.1-Tareas Principales/1.1.2-Imprimir Hoja de Vida,Chrome 71.0.3578.98,,2019-02-01 17:05:07,2019-02-01 17:05:31,"23,549s",PASSED
"callTestCase(findTestCase(""1.1-Tareas Principales/Listado hojas de Vida""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-02-01 17:05:08,2019-02-01 17:05:24,"16,506s",PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-01 17:05:24,2019-02-01 17:05:26,"2,003s",PASSED
"setText(findTestObject(""Modulo Tarea Listado Hojas de Vida/Imprimir Hoja de Vida/input_Identificacin_listado_ho""), ""354968431354"")",Chrome 71.0.3578.98,,2019-02-01 17:05:26,2019-02-01 17:05:26,"0,162s",PASSED
"sendKeys(findTestObject(""Modulo Tarea Listado Hojas de Vida/Imprimir Hoja de Vida/input_Identificacin_listado_ho""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-02-01 17:05:26,2019-02-01 17:05:26,"0,051s",PASSED
"click(findTestObject(""Modulo Tarea Listado Hojas de Vida/Imprimir Hoja de Vida/span_354968431354""))",Chrome 71.0.3578.98,,2019-02-01 17:05:26,2019-02-01 17:05:27,"0,642s",PASSED
"click(findTestObject(""Modulo Tarea Listado Hojas de Vida/Imprimir Hoja de Vida/span_Imprimir""))",Chrome 71.0.3578.98,,2019-02-01 17:05:27,2019-02-01 17:05:28,"1,133s",PASSED
"click(findTestObject(""Modulo Tarea Listado Hojas de Vida/Imprimir Hoja de Vida/a_Si""))",Chrome 71.0.3578.98,,2019-02-01 17:05:28,2019-02-01 17:05:31,"2,718s",PASSED
